103.55.225.34:8080 | HTTP | ID | Anonymous | PT Gapura Era Digital
103.222.255.179:8080 | HTTP | ID | Transparent | PT Iktiar Doa Tawakal
103.134.85.167:3128 | HTTP | ID | Transparent | Dinas Komunikasi dan Info..
188.132.222.154:8080 | HTTP | TR | Transparent | High Speed Telekomunikasy..
14.250.75.107:5678 | HTTP | VN | Elite | VNPT
193.43.140.253:8080 | HTTP | SY | Transparent | Syrian Telecom
131.153.163.178:9050 | HTTP | US | Elite | Secured Servers LLC
182.253.40.25:8080 | HTTP | ID | Transparent | BIZNET
103.166.159.147:8080 | HTTP | ID | Transparent | PT Timor Lintas Nusantara
195.62.50.20:8080 | HTTP | TR | Transparent | High Speed For Internet S..
194.124.36.132:8080 | HTTP | TR | Transparent | High Speed Telekomunikasy..
14.250.75.87:5678 | HTTP | VN | Elite | VNPT
103.203.232.166:8080 | HTTP | ID | Transparent | PT Inti Data Guna
14.250.75.106:7890 | HTTP | VN | Elite | VNPT
203.150.128.216:8080 | HTTP | TH | Transparent | Internet Thailand Company..
41.216.186.73:8080 | HTTP | ID | Anonymous | FASTHOSTING
170.81.209.105:8080 | HTTP | BR | Transparent | Connectvy Telecomunicacoe..
160.191.180.123:8080 | HTTP | ID | Transparent | PT.Global Media Data Prim..
103.193.144.16:8080 | HTTP | ID | Transparent | PT Lintas Jaringan Nusant..
140.245.85.78:3128 | HTTP | JP | Transparent | Oracle Corporation
103.190.170.144:8080 | HTTP | ID | Transparent | PT Ring Media Nusantara
202.154.19.154:8080 | HTTP | ID | Transparent | DIGITNET
14.250.75.43:7890 | HTTP | VN | Elite | VNPT
160.191.180.245:3128 | HTTP | ID | Transparent | PT.Global Media Data Prim..
193.221.203.14:3128 | HTTP | FI | Elite | Baykov Ilya Sergeevich
146.196.98.146:8080 | HTTP | ID | Transparent | PT Maxindo Mitra Solusi
131.222.251.149:8080 | HTTP | TR | Transparent | High Speed For Internet S..
139.28.49.43:8080 | HTTP | SY | Transparent | High Speed For Internet S..
64.188.77.221:3128 | HTTP | NL | Elite | OC NETWORKS LIMITED
103.139.99.190:8080 | HTTP | ID | Transparent | Digital Network Setiawan
83.222.7.205:3128 | HTTP | UZ | Elite | "Uzbektelekom" Joint Stoc..
38.76.150.163:1080 | HTTP | US | Elite | NetLab Global
103.172.120.180:8080 | HTTP | ID | Transparent | PT Digital Akses Nusantar..
193.160.209.58:1080 | HTTP | RU | Elite | JSC "TIMEWEB"
54.206.129.21:1080 | HTTP | AU | Elite | Amazon.com, Inc.
149.86.151.197:8080 | HTTP | TR | Transparent | Gibirnet Iletisim Hizmetl..
109.195.74.237:3128 | HTTP | RU | Elite | CJSC "ER-Telecom Holding"..
139.162.46.62:3128 | HTTP | SG | Transparent | Akamai Technologies, Inc.
103.193.145.205:8080 | HTTP | ID | Transparent | PT Lintas Jaringan Nusant..
45.198.20.166:8080 | HTTP | ID | Transparent | PT IKHLAS CIPTA TEKNOLOGI
103.76.105.182:8080 | HTTP | ID | Transparent | PT Citra Prima Media
18.188.53.175:80 | HTTP | US | Elite | Amazon.com, Inc.
174.138.165.130:9050 | HTTP | US | Elite | Secured Servers LLC
115.132.27.43:8080 | HTTP | MY | Transparent | TM TECHNOLOGY SERVICES SD..
63.179.134.68:1080 | HTTP | DE | Elite | Amazon.com
103.171.83.49:8080 | HTTP | ID | Transparent | PT Multi Network Indonesi..
210.87.125.57:8080 | HTTP | ID | Transparent | CV Brawijaya Giga Network
195.142.250.34:8080 | HTTP | TR | Transparent | Superonline Iletisim Hizm..
213.220.62.62:3128 | HTTP | NL | Transparent | YSZ Trading Co. Limited
3.112.50.136:1080 | HTTP | JP | Elite | Amazon Technologies Inc.
103.156.248.100:8080 | HTTP | ID | Anonymous | Trans Media Telekomunikas..
14.250.75.33:3128 | HTTP | VN | Elite | VNPT
85.192.29.60:3128 | HTTP | NL | Elite | Aeza International LTD
146.56.148.222:3128 | HTTP | KR | Transparent | Oracle Corporation
103.180.126.165:8080 | HTTP | ID | Transparent | PT Alam Media Data
185.200.37.42:8080 | HTTP | TR | Transparent | High Speed Telekomunikasy..
103.179.252.16:3128 | HTTP | ID | Transparent | PT Pusaka Kreasi Mandiri
200.3.197.85:8080 | HTTP | BR | Transparent | Inacio Miguel Scherer
141.136.63.126:8080 | HTTP | VE | Transparent | FRONTERA
70.61.188.34:3128 | HTTP | US | Transparent | Spectrum
103.178.86.185:8080 | HTTP | ID | Anonymous | PT Adhi Pradana Makayasa
105.159.146.247:5678 | HTTP | MA | Elite | Office National des Poste..
161.248.176.2:8080 | HTTP | IN | Transparent | SNA INTERNET PRIVATE LIMI..
1.180.80.211:7890 | HTTP | CN | Elite | Chinanet
103.179.180.134:8080 | HTTP | ID | Transparent | PT Karya Aneka Persada
159.223.71.162:8080 | HTTP | SG | Elite | DigitalOcean, LLC
186.123.103.14:3128 | HTTP | AR | Transparent | Techtel LMDS Comunicacion..
174.138.165.242:8080 | HTTP | US | Elite | Secured Servers LLC
148.135.22.89:1080 | HTTP | US | Elite | Multacom Corporation
14.250.75.64:5678 | HTTP | VN | Elite | VNPT
14.250.75.73:1080 | HTTP | VN | Elite | VNPT
27.65.51.61:80 | HTTP | UN | Elite | Lookup Error
45.116.14.87:8080 | HTTP | JP | Elite | xTom Limited
43.129.74.100:8080 | HTTP | HK | Transparent | Shenzhen Tencent Computer..
174.138.166.35:8888 | HTTP | US | Elite | Secured Servers LLC
202.58.77.195:8080 | HTTP | ID | Anonymous | PT Data Buana Nusantara
95.214.123.54:8080 | HTTP | HU | Transparent | Deltakon Kft.
174.138.165.82:9050 | HTTP | US | Elite | Secured Servers LLC
103.156.14.165:8080 | HTTP | ID | Transparent | PT Lintas Jaringan Nusant..
89.43.132.199:8080 | HTTP | SY | Transparent | High Speed For Internet S..
36.88.249.106:80 | HTTP | ID | Transparent | PT. Telekomunikasi Indone..
89.43.133.103:8080 | HTTP | SY | Transparent | High Speed For Internet S..
201.139.115.38:8080 | HTTP | MX | Elite | Transtelco Inc
103.68.215.61:8080 | HTTP | ID | Transparent | PT Media Grasi Internet
103.166.159.225:8080 | HTTP | ID | Transparent | PT Timor Lintas Nusantara
5.104.87.221:8888 | HTTP | JP | Anonymous | Contabo Asia Private Limi..
3.255.90.251:1080 | HTTP | IE | Elite | Amazon Technologies Inc.
103.174.122.208:8080 | HTTP | ID | Anonymous | PT Jaya Sejahtra Nugraha
176.124.205.142:1080 | HTTP | US | Elite | Aeza International LTD
187.216.141.46:3128 | HTTP | MX | Transparent | Uninet S.A. de C.V.
103.156.17.227:8080 | HTTP | ID | Transparent | RSTNET
14.250.75.107:9050 | HTTP | VN | Elite | VNPT
103.189.197.212:8080 | HTTP | ID | Transparent | PT Graha Sumber Teknologi
177.135.190.101:8080 | HTTP | BR | Transparent | TELEFÔNICA BRASIL S.A
37.208.148.75:8080 | HTTP | QA | Transparent | Ooredoo Q.S.C.
49.48.71.119:8080 | HTTP | TH | Transparent | Triple T Broadband Public..
84.1.150.66:8080 | HTTP | HU | Transparent | Magyar Telekom
103.192.174.154:8080 | HTTP | ID | Transparent | PT JKB Telematika Indones..
103.124.137.31:3128 | HTTP | ID | Transparent | Global Media Data Prima
174.138.165.243:8080 | HTTP | US | Elite | Secured Servers LLC
103.155.64.221:8080 | HTTP | ID | Transparent | PT Media Access Telematik..
35.87.40.144:80 | HTTP | US | Elite | Amazon.com, Inc.
103.179.182.51:8080 | HTTP | ID | Transparent | PT Cahaya Solusindo Inter..
103.68.214.175:8080 | HTTP | ID | Transparent | PT Media Grasi Internet
190.97.254.178:8080 | HTTP | VE | Transparent | Viginet C.A
131.222.210.36:8080 | HTTP | TR | Transparent | Superonline Iletisim Hizm..
146.120.199.193:8080 | HTTP | UA | Transparent | FiberLink Ltd.
154.119.80.27:3128 | HTTP | ZW | Transparent | Telecontract Pvt Ltd
103.247.23.117:8080 | HTTP | ID | Transparent | PT wifian Solution
103.142.61.183:8080 | HTTP | ID | Anonymous | UTARAMEDIANET
108.131.109.106:80 | HTTP | IE | Elite | BellSouth.net Inc.
103.154.170.249:8080 | HTTP | ID | Transparent | PT Irama Media FlashNet
89.43.135.9:8080 | HTTP | SY | Transparent | High Speed For Internet S..
15.161.131.175:8080 | HTTP | IT | Elite | Amazon.com, Inc.
